step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
382,CASH_OUT,283639,C786579303,164329,24578,C826517607,739126,620632,1,1
579,TRANSFER,232077,C219540831,213933,254927,C683246764,269578,44258,1,0
186,DEBIT,91388,C126855092,22076,332346,C507693523,328624,548892,0,0
346,PAYMENT,111066,C896233790,207028,232459,M523625992,54604,489114,0,0
238,TRANSFER,107541,C395310485,339205,301614,C978726109,629443,120384,0,0
347,DEBIT,244259,C362950628,396562,235067,C470585534,257571,748081,0,0
251,TRANSFER,42417,C339670711,225864,84242,C930071496,653197,612666,0,0
655,PAYMENT,68753,C249827706,347821,269417,M963949678,726787,231898,0,0
269,CASH_OUT,254236,C890779946,188929,311560,C257277541,484859,141248,1,1
437,TRANSFER,136360,C210053353,219123,178725,C411871167,784147,560451,0,0
399,DEBIT,243566,C826600539,475551,267356,C145168545,606990,454906,0,0
242,PAYMENT,278504,C895285932,391407,68259,M408840720,272126,496336,0,0
229,DEBIT,286739,C685582861,423206,121399,C866803374,658559,760395,0,0
410,TRANSFER,176093,C193349856,37361,233725,C184857208,478803,164562,0,0
435,CASH_OUT,238602,C734036506,427867,180294,C471904990,41291,741511,1,0
503,DEBIT,179147,C553035110,801,371427,C574997731,82641,239026,0,0
623,TRANSFER,234956,C134126396,236436,410275,C804344630,447564,43794,1,1
336,PAYMENT,268882,C131994523,193691,496195,M375354619,125801,80799,0,0
599,DEBIT,93750,C200604502,57645,255035,C902448600,54306,126866,0,0
136,DEBIT,144675,C334760738,391995,222159,C614407444,369006,363116,0,0
647,DEBIT,104288,C349817734,408845,282781,C329766590,410092,599857,0,0
580,PAYMENT,103219,C642621108,461024,366204,M316968866,379570,780371,0,0
229,DEBIT,190295,C746412689,191375,208574,C989006374,787560,639157,0,0
637,TRANSFER,163104,C128492780,301041,257506,C678293640,271479,95698,1,0
571,CASH_OUT,236638,C702632297,142487,348962,C391126537,679648,484100,1,0
226,CASH_OUT,112433,C313500298,227966,310001,C703462253,488288,100353,0,0
119,CASH_OUT,273220,C868820204,285913,443855,C847508242,622994,98812,1,1
256,PAYMENT,12062,C797808098,346773,72746,M391651334,186807,122603,0,0
401,DEBIT,104528,C853041955,319522,298875,C247395716,255027,505241,0,0
521,PAYMENT,211528,C685126461,62784,181502,M217281149,236109,434448,0,0
665,DEBIT,248041,C550455977,463144,406669,C761078179,278606,696713,0,0
605,CASH_OUT,88841,C336696312,237403,324215,C895525625,450479,457357,0,0
389,CASH_OUT,227428,C582334538,281120,274073,C730104453,426855,745866,1,1
688,DEBIT,186378,C732719211,167807,179504,C356927167,54486,713708,0,0
277,PAYMENT,94937,C398704996,377721,83030,M360337343,405155,398300,0,0
205,TRANSFER,125949,C969119330,334716,326212,C154508960,177561,500229,0,0
353,CASH_OUT,71456,C106977991,301129,93034,C819228743,4642,404168,0,0
49,DEBIT,107425,C914763202,288102,199756,C670201461,360777,29533,0,1
33,TRANSFER,230880,C965241839,101827,169737,C342313086,23946,526884,1,0
310,PAYMENT,227143,C271432881,331368,112406,M784987769,18909,90027,0,1
387,DEBIT,189173,C849621470,194672,448540,C350006353,355884,165024,0,0
81,CASH_OUT,138519,C553778756,391214,295119,C156361897,653009,261609,0,0
692,PAYMENT,145381,C465341213,6861,380210,M207586738,16738,374016,0,0
51,DEBIT,85158,C398362082,334523,251519,C543778963,759277,481604,1,0
326,PAYMENT,256239,C266944844,235068,473421,M454650074,409174,514938,0,0
693,CASH_OUT,276493,C331191390,404470,495047,C870257350,91860,441719,1,0
277,PAYMENT,259736,C919795579,106242,49294,M607239833,188362,251775,0,0
100,CASH_OUT,107624,C461415646,161100,451027,C207959268,212650,733838,0,0
393,PAYMENT,17039,C209747451,157779,454248,M831424323,679424,415915,0,1
192,TRANSFER,142000,C199585092,68122,444573,C927603754,656341,241630,0,0
613,PAYMENT,114110,C507943839,196701,436700,M247604106,346113,41516,0,0
662,TRANSFER,253578,C203848421,224757,44348,C105563528,551171,476697,1,0
220,PAYMENT,256027,C485451171,142012,292988,M690936560,182615,258006,0,0
435,TRANSFER,40602,C469319644,358234,226621,C269587940,630167,72468,0,0
646,PAYMENT,111123,C748245888,379635,219356,M536913550,44420,346261,0,0
218,CASH_OUT,13877,C384027113,52870,477959,C801038300,751419,713209,0,0
655,DEBIT,155061,C966647391,34012,36845,C610778600,750071,408852,0,0
138,PAYMENT,162123,C146654552,367510,152215,M612656440,152842,423556,0,0
